"audited_at_utc","source_estate","record_kind","request_method","requested_url","status","final_url","redirect_count","effective_page_robots","canonical"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/al-marjan-island","200","https://investwithraj.com/areas/al-marjan-island","0","index, follow","https://investwithraj.com/areas/al-marjan-island"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/al-reem-island","200","https://investwithraj.com/areas/al-reem-island","0","index, follow","https://investwithraj.com/areas/al-reem-island"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/downtown-dubai","200","https://investwithraj.com/areas/downtown-dubai","0","index, follow","https://investwithraj.com/areas/downtown-dubai"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/dubai-creek-harbour","200","https://investwithraj.com/areas/dubai-creek-harbour","0","index, follow","https://investwithraj.com/areas/dubai-creek-harbour"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/dubai-hills-estate","200","https://investwithraj.com/areas/dubai-hills-estate","0","index, follow","https://investwithraj.com/areas/dubai-hills-estate"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/dubai-marina","200","https://investwithraj.com/areas/dubai-marina","0","index, follow","https://investwithraj.com/areas/dubai-marina"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/hudayriyat-island","200","https://investwithraj.com/areas/hudayriyat-island","0","index, follow","https://investwithraj.com/areas/hudayriyat-island"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/palm-jebel-ali","200","https://investwithraj.com/areas/palm-jebel-ali","0","index, follow","https://investwithraj.com/areas/palm-jebel-ali"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/palm-jumeirah","200","https://investwithraj.com/areas/palm-jumeirah","0","index, follow","https://investwithraj.com/areas/palm-jumeirah"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/saadiyat-island","200","https://investwithraj.com/areas/saadiyat-island","0","index, follow","https://investwithraj.com/areas/saadiyat-island"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/areas/yas-island","200","https://investwithraj.com/areas/yas-island","0","index, follow","https://investwithraj.com/areas/yas-island"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/developers","200","https://investwithraj.com/developers","0","index, follow","https://investwithraj.com/developers"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/developers/aldar","200","https://investwithraj.com/developers/aldar","0","index, follow","https://investwithraj.com/developers/aldar"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/developers/emaar","200","https://investwithraj.com/developers/emaar","0","index, follow","https://investwithraj.com/developers/emaar"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/developers/modon","200","https://investwithraj.com/developers/modon","0","index, follow","https://investwithraj.com/developers/modon"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/developers/nakheel","200","https://investwithraj.com/developers/nakheel","0","index, follow","https://investwithraj.com/developers/nakheel"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/developers/sobha","200","https://investwithraj.com/developers/sobha","0","index, follow","https://investwithraj.com/developers/sobha"
"2026-08-15T23:03:02.717Z","advisory","url-observation","GET","https://investwithraj.com/projects/wynn-al-marjan","200","https://investwithraj.com/projects/wynn-al-marjan","0","noindex, follow","https://investwithraj.com/projects/wynn-al-marjan"
